,Contig,Breadth,Depth avg,Depth median,readsGB,expected_value,expected_value_int,err,AE,RAE,std_res
0,NC_014328.1.region004,1.0,47.8323307250441,45.0,0.9,53.38136549058424,53.0,-8.381365490584237,8.381365490584237,0.15700919999999996,-2.7420930291815395
1,NZ_CP053893.1.region001,1.0,44.89119243077779,45.0,0.9,53.38136549058424,53.0,-8.381365490584237,8.381365490584237,0.15700919999999996,-2.7420930291815395
2,NZ_LT906470.1.region001,1.0,48.00558234914366,46.0,0.9,53.38136549058424,53.0,-7.381365490584237,7.381365490584237,0.1382760711111111,-2.4149276010347713
3,NZ_CP053893.1.region004,1.0,50.19951015409736,46.0,0.9,53.38136549058424,53.0,-7.381365490584237,7.381365490584237,0.1382760711111111,-2.4149276010347713
4,NZ_CP053893.1.region003,1.0,46.97013827596352,46.0,0.9,53.38136549058424,53.0,-7.381365490584237,7.381365490584237,0.1382760711111111,-2.4149276010347713
5,NZ_CP053893.1.region002,1.0,258.2671901741669,48.0,0.9,53.38136549058424,53.0,-5.381365490584237,5.381365490584237,0.1008098133333333,-1.7605967447412352
6,NZ_CP053893.1.region005,1.0,45.02946698970321,45.0,0.9,53.38136549058424,53.0,-8.381365490584237,8.381365490584237,0.15700919999999996,-2.7420930291815395
7,NC_014328.1.region003,1.0,46.01127602158828,45.0,0.9,53.38136549058424,53.0,-8.381365490584237,8.381365490584237,0.15700919999999996,-2.7420930291815395
8,NZ_CP053893.1.region006,1.0,54.65698458574181,46.0,0.9,53.38136549058424,53.0,-7.381365490584237,7.381365490584237,0.1382760711111111,-2.4149276010347713
9,NC_014328.1.region001,1.0,45.22983693256941,45.0,0.9,53.38136549058424,53.0,-8.381365490584237,8.381365490584237,0.15700919999999996,-2.7420930291815395
10,NC_014328.1.region005,1.0,50.33592700662313,45.0,0.9,53.38136549058424,53.0,-8.381365490584237,8.381365490584237,0.15700919999999996,-2.7420930291815395
11,NZ_LT906470.1.region002,1.0,50.01456731961319,47.0,0.9,53.38136549058424,53.0,-6.381365490584237,6.381365490584237,0.11954294222222218,-2.087762172888003
12,NZ_LT906470.1.region003,1.0,44.53657864523536,44.0,0.9,53.38136549058424,53.0,-9.381365490584237,9.381365490584237,0.17574232888888885,-3.0692584573283077
13,NC_014328.1.region002,1.0,44.24053358542093,44.0,0.9,53.38136549058424,53.0,-9.381365490584237,9.381365490584237,0.17574232888888885,-3.0692584573283077
14,NZ_LT906445.1.region001,1.0,44.82951197053407,45.0,0.9,53.38136549058424,53.0,-8.381365490584237,8.381365490584237,0.15700919999999996,-2.7420930291815395
15,NZ_CP020566.1.region001,1.0,45.57202707057686,46.0,0.9,53.38136549058424,53.0,-7.381365490584237,7.381365490584237,0.1382760711111111,-2.4149276010347713
0,NC_014328.1.region004,0.4194219548600117,1.3825083575973256,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
1,NZ_CP053893.1.region001,0.3554566114744214,1.3019311064718162,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
2,NZ_LT906470.1.region001,0.3600425321839517,1.35523678936821,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
3,NZ_CP053893.1.region004,0.4695887335442392,1.5653591220254266,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
